name,size
8,_private.1165308017.tagged_proof.wf,2
2,tactic.id_tag.rw,2
26,nat.inhabited,5
17,not,5
76,tactic.dsimp_config.canonize_instances._default,6
58,tactic.rewrite_cfg.occs._default,6
74,tactic.simp_config.iota_eqn._default,6
53,tactic.simp_config.beta._default,6
71,tactic.delta_config.visit_instances._default,6
48,tactic.simp_config.memoize._default,6
55,tactic.dsimp_config.eta._default,6
106,tactic.id_tag.rsimp.equations._eqn_1,7
102,_private.754422749.tagged_proof.rsimp.equations._eqn_1,7
94,implies,7
112,decidable.false,8
110,nat.sizeof,8
108,nat.le,8
224,feature_search.predictor_cfg.to_feature_cfg,10
219,tactic.interactive.case_tag.match_result.no_match.inj,10
158,tactic.rewrite_cfg.md._default,10
220,name.anonymous.inj,10
191,bool.tt.inj,10
155,expr.coord.app_fn.inj,10
207,tactic.interactive.case_tag.match_result.exact_match.inj,10
151,expr.address.equations._eqn_1,10
160,io.process.stdio.piped.inj,10
232,vm_obj_kind.name.inj,10
182,congr_arg_kind.fixed.inj,10
221,tactic.interactive.case_tag.match_result.fuzzy_match.inj,10
229,tactic.simp_intros_config.to_simp_config,10
161,vm_obj_kind.declaration.inj,10
237,nat.zero.inj,10
242,interactive.loc.wildcard.inj,10
192,occurrences.all.inj,10
204,mk_simple_name,10
241,vm_obj_kind.expr.inj,10
163,congr_arg_kind.fixed_no_param.inj,10
251,set_of,11
255,smt_pre_config.simp_attr,11
246,_private.2042382769.V,11
264,not.intro,11
260,true.cases_on,11
249,empty.rec_on,11
272,environment.projection_info.is_class,12
270,heq.rfl,12
269,smt_config.cc_cfg._default,12
293,feature_search.feature_cfg.ignore_conns,13
301,fun_info.result_deps,14
328,trace,15
320,ulift.down,15
350,irreflexive,16
379,has_inv.inv,18
359,has_neg.neg,18
378,list.nil.inj,18
367,list.last._main._proof_1,18
363,total,18
427,infer_instance.equations._eqn_1,19
395,set.has_emptyc,19
390,tactic.simp_config.lift_eq._default.equations._eqn_1,19
444,feature_search.predictor_cfg.type._default.equations._eqn_1,19
407,tactic.apply_cfg.instances._default.equations._eqn_1,19
405,feature_search.feature_cfg.ignore_decidable._default.equations._eqn_1,19
428,tactic.simp_config.use_axioms._default.equations._eqn_1,19
429,tactic.simp_config.iota._default.equations._eqn_1,19
413,tactic.simp_config.contextual._default.equations._eqn_1,19
385,and.right,19
410,tactic.apply_cfg.approx._default.equations._eqn_1,19
447,cc_config.em._default.equations._eqn_1,19
426,tactic.simp_intros_config.use_hyps._default.equations._eqn_1,19
437,tactic.dsimp_config.proj._default.equations._eqn_1,19
474,true.dcases_on,20
460,tactic.unfold_proj_config.cases_on,20
452,function.comp,20
476,int.has_coe.equations._eqn_1,20
466,tactic.dsimp_config.eta,20
502,io.process.spawn_args.cmd,21
485,int.has_one,21
500,has_sdiff.sdiff,21
509,anti_symmetric,21
595,tactic.interactive.case_tag.match_result.fuzzy_match.inj_arrow,22
544,vm_obj_kind.format.inj_arrow,22
524,vm_obj_kind.simple.inj_arrow,22
545,congr_arg_kind.fixed.inj_arrow,22
561,widget.mouse_event_kind.on_mouse_enter.inj_arrow,22
538,io.process.stdio.null.inj_arrow,22
547,congr_arg_kind.heq.inj_arrow,22
564,tactic.new_goals.all.inj_arrow,22
602,format.color.orange.inj_arrow,22
591,environment.implicit_infer_kind.relaxed_implicit.inj_arrow,22
626,function.comp_right,23
613,bool.sizeof._main,23
615,punit.sizeof._main,23
616,true_or,23
618,function.comp_left,23
629,combinator.S,23
659,tactic.simp_intros_config.cases_on,24
642,std_gen.cases_on,24
638,subsingleton_info.cases_on,24
